OBJECTID,LANDUSECODE,LANDUSEDESC,LASTUPDATE,LASTEDITOR,DENSITY,FAR,HISTORY,ACRES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,UNITCOUNT
1921,MDR,Medium-Density Residential,,, , , ,2.53944732,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{F8526C15-A2FC-4873-9722-4626239435F6},40.6
1922,OS,Open Space,,, , , ,1.32365028,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{909EC936-E06D-450B-AE10-7A659A7CBE5F},0
1923,OS,Open Space,,, , , ,4.71702518,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{B00AE490-EE3C-4A41-8B85-5382F9BD6DD6},0
1924,MDR,Medium-Density Residential,,, , , ,0.9364003,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{3C86BED0-4714-47CE-91F2-931F33FA79A5},15
1925,OIR,Office/Institutional/Residential,,, , , ,1.16546178,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{BB9BF55C-5516-4A75-A451-6DE7430D6024},0
1926,OS,Open Space,,, , , ,3.40255277,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{A82A3835-FC7A-423B-97B0-0C8A43E69D82},0
1927,MDR,Medium-Density Residential,,, , , ,0.52576867,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{A84B8983-9C42-4F24-A10C-D5830EFD4F00},8.5
1928,OS,Open Space,,, , , ,0.97618291,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{FAC3D760-AD27-4E01-B72C-15C62AF2F94D},0
1962,OIR,Office/Institutional/Residential,,, , , ,83.27845375,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{561FA517-B7B9-45DD-A658-E80A4487056D},0
1963,MDR,Medium-Density Residential,,, , , ,1.63807656,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{9DCFAA51-5619-475B-8140-26EB27B144D7},39.2
1964,LDR,Low-Density Residential,,,9-16, , ,9.73767045,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{774E0BCF-9983-473A-9B38-39A05AAA12B1},155.7
1965,LDC,Low-Density Commercial,,, , , ,4.56219725,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{223EE719-C504-42BF-B65A-5593A143A7FB},0
1966,LDC,Low-Density Commercial,,, , , ,4.26303289,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{DC248771-818A-40E2-AA03-FB9664423327},0
1967,MDR,Medium-Density Residential,,, , , ,0.99574806,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{A9466EAC-E4AD-4812-825F-8445B1845CEE},16
1968,MDR,Medium-Density Residential,,, , , ,0.51233887,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{5C528C89-4DD4-422D-89C4-E8037BB566CA},8.2
1969,LDC,Low-Density Commercial,,, , , ,0.19992269,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{80D00F19-D27C-4F9E-AEA2-FD53AE94D121},0
1970,LDC,Low-Density Commercial,,, , , ,0.11997484,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{00C13DD0-5A80-4F41-802F-C4DDD710E98F},0
1971,LDC,Low-Density Commercial,,, , , ,0.1661397,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:14.000Z,{93D9B5A6-EEB2-40A4-9123-05DBE717F5F8},0
